class_id,iou,class_name
3,0.6992495780573874,mouth
0,0.9497823575323754,baby
4,0.5759745774418037,nose
5,0.7876586468270105,opened eyes
5,0.6876269842015373,opened eyes
0,0.8519708158776129,baby
3,0.8698930132643038,mouth
5,0.8500893963855085,opened eyes
4,0.6742423883227583,nose
5,0.7748594162196313,opened eyes
0,0.9081868055981662,baby
4,0.8531152369829804,nose
1,0.6636686333877038,close eye
1,0.7641340050740787,close eye
3,0.772696648056675,mouth
3,0.676620600006628,mouth
1,0.547760582482707,close eye
4,0.7800416972206132,nose
1,0.4074501869112538,close eye
0,0.8208467138673295,baby
3,0.853619899915138,mouth
1,0.8313034074531043,close eye
1,0.7777670635200836,close eye
4,0.6869374147631635,nose
0,0.8677542127548947,baby
4,0.6000738925933454,nose
3,0.8421748515594517,mouth
1,0.7823337488687678,close eye
1,0.8077250300852641,close eye
1,0.7685329946022199,close eye
0,0.9745527306770898,baby
3,0.5507471587034272,mouth
4,0.8270209263828625,nose
1,0.8763482763007387,close eye
1,0.6767448290163088,close eye
1,0.38354876824083484,close eye
0,0.7768793676726987,baby
3,0.7380200936748939,mouth
1,0.6915203972775218,close eye
4,0.7375236420260675,nose
0,0.8320793188602714,baby
3,0.7334603894277357,mouth
4,0.8736687559314466,nose
1,0.8637767669830971,close eye
1,0.7024895235658405,close eye
0,0.921991651128186,baby
3,0.7612675522291168,mouth
4,0.763005749393259,nose
5,0.7147873330865924,opened eyes
5,0.8309689637807228,opened eyes
0,0.9524653465308651,baby
3,0.9249841821818922,mouth
4,0.765622299100723,nose
1,0.49944003163899636,close eye
1,0.5960124464009448,close eye
0,0.9729705896387628,baby
3,0.8458284623129888,mouth
4,0.6487045749553252,nose
5,0.789373984287537,opened eyes
5,0.7448300725091793,opened eyes
0,0.8784948931240322,baby
4,0.7969246042116026,nose
1,0.7155142486179356,close eye
1,0.764845801872988,close eye
0,0.9258744485623829,baby
3,0.7872308789484584,mouth
1,0.5172286178136447,close eye
4,0.7959285235772471,nose
4,0.6690551948326912,nose
0,0.8376175452038532,baby
3,0.7356994253222339,mouth
4,0.806150299688844,nose
1,0.8565653800200597,close eye
0,0.9230110135241122,baby
3,0.8255192863588563,mouth
4,0.8256495613444386,nose
1,0.7684605624280099,close eye
1,0.8450111668086628,close eye
0,0.8795476151766792,baby
3,0.786422072010897,mouth
4,0.7525918562755958,nose
5,0.7122485136125108,opened eyes
5,0.831842528972098,opened eyes
0,0.8943590844057511,baby
3,0.8481374194337784,mouth
4,0.8592274048869883,nose
1,0.7274672543237916,close eye
1,0.7732978234216743,close eye
0,0.7332461451781683,baby
3,0.5667452248186922,mouth
4,0.667790995396202,nose
1,0.5593876667338861,close eye
0,0.8659131236146493,baby
1,0.6096228812974608,close eye
4,0.696643649576743,nose
3,0.6912099113324994,mouth
1,0.5465305400963384,close eye
0,0.887262272470089,baby
3,0.7995543548148005,mouth
4,0.8032973933426888,nose
1,0.7250809555067164,close eye
1,0.80051912930859,close eye
0,0.8889128442986093,baby
3,0.6241010587792633,mouth
4,0.6951605730970146,nose
1,0.7709644848816483,close eye
1,0.5167146430459584,close eye
0,0.968553183734587,baby
3,0.6798200296624802,mouth
4,0.8039148716684515,nose
5,0.5877469257740154,opened eyes
0,0.894451132622532,baby
3,0.7073160052482645,mouth
4,0.7149674884643091,nose
1,0.6342050594967311,close eye
1,0.45768472329019455,close eye
1,0.5367677024234356,close eye
0,0.9458501498624323,baby
3,0.9191231149352013,mouth
4,0.8536871430123408,nose
5,0.718812324632406,opened eyes
5,0.6620198966913217,opened eyes
0,0.9236811520053798,baby
1,0.5932751589911467,close eye
0,0.9931710426742405,baby
3,0.9111717335071561,mouth
4,0.8985065715977163,nose
5,0.9135297491920071,opened eyes
5,0.7723427928912465,opened eyes
0,0.95368036464547,baby
1,0.9236047805354406,close eye
1,0.7345096409232624,close eye
4,0.7742839652762548,nose
3,0.9366065003890187,mouth
0,0.9474175190064591,baby
4,0.7549372218293862,nose
1,0.7255428740396911,close eye
3,0.7941459309374173,mouth
1,0.8246665833616135,close eye
0,0.9818539791879126,baby
1,0.7616709853362099,close eye
4,0.8372200943490566,nose
3,0.6516351927653175,mouth
0,0.9559770248680284,baby
3,0.8881822189516602,mouth
4,0.9688185188251505,nose
5,0.6927650457030405,opened eyes
5,0.6210358467803907,opened eyes
0,0.9593608380121066,baby
4,0.8235746933839327,nose
3,0.883473544765462,mouth
1,0.738919119649249,close eye
1,0.6965049459203158,close eye
0,0.9883159701486428,baby
3,0.7592097722979089,mouth
4,0.8405886355072769,nose
5,0.6712365745337048,opened eyes
5,0.7582568759651686,opened eyes
0,0.924877570511683,baby
4,0.9041532838901672,nose
3,0.845944822374239,mouth
1,0.6121053882816746,close eye
1,0.6348895380520313,close eye
0,0.827020650681078,baby
3,0.9231052189245693,mouth
4,0.7937068311102415,nose
1,0.8320288980944063,close eye
1,0.7064159766525806,close eye
0,0.8348127406212725,baby
3,0.8091928075615757,mouth
4,0.8321477028871884,nose
5,0.8175201325879008,opened eyes
5,0.5803536579271519,opened eyes
0,0.9828565720894721,baby
4,0.7796552159174798,nose
3,0.9044729419013089,mouth
1,0.5958101913228363,close eye
1,0.743998976560921,close eye
2,0.8658866018660344,crib
3,0.8634864225633768,mouth
0,0.9620853083060369,baby
4,0.8353634617923017,nose
1,0.573390755408139,close eye
0,0.8715980819926009,baby
3,0.7580351801399818,mouth
1,0.8673268391302241,close eye
