class_id,confidence,class_name
0,0.9018228054046631,baby
4,0.735034167766571,nose
5,0.5615143179893494,opened eyes
0,0.9017335176467896,baby
4,0.7081473469734192,nose
5,0.5501847267150879,opened eyes
0,0.5459966659545898,baby
1,0.5436192750930786,close eye
0,0.9231630563735962,baby
3,0.68290114402771,mouth
1,0.6459489464759827,close eye
4,0.6026272177696228,nose
1,0.4242829978466034,close eye
0,0.92281174659729,baby
1,0.6438511610031128,close eye
4,0.6099555492401123,nose
3,0.5575891137123108,mouth
1,0.3754267394542694,close eye
0,0.9113083481788635,baby
3,0.8451718688011169,mouth
4,0.8274089694023132,nose
1,0.7138519287109375,close eye
1,0.6565345525741577,close eye
0,0.9497467875480652,baby
4,0.7279535531997681,nose
1,0.7257854342460632,close eye
3,0.7242867350578308,mouth
1,0.4164397418498993,close eye
0,0.9552857875823975,baby
4,0.7203357219696045,nose
1,0.7197091579437256,close eye
3,0.6115679144859314,mouth
1,0.4252071678638458,close eye
0,0.9183349609375,baby
4,0.6100972890853882,nose
1,0.45108333230018616,close eye
2,0.8645247220993042,crib
0,0.8177083134651184,baby
2,0.8389557003974915,crib
0,0.8109625577926636,baby
0,0.8460668325424194,baby
2,0.3333319127559662,crib
2,0.7272181510925293,crib
2,0.594534158706665,crib
0,0.848442018032074,baby
2,0.6390386819839478,crib
2,0.5468273758888245,crib
2,0.4436575770378113,crib
2,0.8584239482879639,crib
2,0.9139747023582458,crib
0,0.414617121219635,baby
2,0.9058473110198975,crib
0,0.45522308349609375,baby
2,0.6101992726325989,crib
0,0.8885263204574585,baby
3,0.6626152396202087,mouth
4,0.535720944404602,nose
1,0.3981481194496155,close eye
4,0.2646368145942688,nose
0,0.8878330588340759,baby
1,0.4866071045398712,close eye
3,0.4246068596839905,mouth
4,0.41715914011001587,nose
1,0.3035183846950531,close eye
1,0.2749943435192108,close eye
4,0.2718534469604492,nose
0,0.8014169931411743,baby
0,0.9277819991111755,baby
3,0.7957494258880615,mouth
4,0.738777756690979,nose
5,0.6945022940635681,opened eyes
5,0.6820009350776672,opened eyes
0,0.9280263185501099,baby
3,0.7986844182014465,mouth
4,0.7423255443572998,nose
5,0.6958287954330444,opened eyes
5,0.6597678661346436,opened eyes
0,0.8699624538421631,baby
3,0.7490691542625427,mouth
1,0.5383037328720093,close eye
5,0.3978417217731476,opened eyes
0,0.9082143306732178,baby
3,0.7640228271484375,mouth
5,0.7225926518440247,opened eyes
5,0.6624917984008789,opened eyes
4,0.5558540225028992,nose
4,0.33499833941459656,nose
0,0.8909054398536682,baby
3,0.7479913830757141,mouth
5,0.6945133805274963,opened eyes
5,0.6288573741912842,opened eyes
4,0.5210878849029541,nose
0,0.8950166702270508,baby
1,0.594483494758606,close eye
4,0.34094861149787903,nose
0,0.8885874152183533,baby
1,0.49150413274765015,close eye
4,0.33533698320388794,nose
0,0.69007807970047,baby
4,0.34500858187675476,nose
0,0.9379186034202576,baby
3,0.7627493739128113,mouth
5,0.7539535760879517,opened eyes
4,0.7058835029602051,nose
5,0.6404637098312378,opened eyes
0,0.9396884441375732,baby
3,0.7567750811576843,mouth
5,0.7165647149085999,opened eyes
4,0.705061137676239,nose
5,0.6563705801963806,opened eyes
0,0.8529895544052124,baby
0,0.9021229147911072,baby
1,0.7278345823287964,close eye
1,0.6947722434997559,close eye
4,0.6474166512489319,nose
3,0.5943876504898071,mouth
0,0.9031124711036682,baby
1,0.7021775841712952,close eye
1,0.6937134861946106,close eye
4,0.6363252997398376,nose
3,0.5937132835388184,mouth
0,0.3479529619216919,baby
0,0.9065552949905396,baby
3,0.7825231552124023,mouth
1,0.6996233463287354,close eye
1,0.626059353351593,close eye
4,0.5704406499862671,nose
4,0.29632025957107544,nose
0,0.9093278646469116,baby
3,0.7906063199043274,mouth
1,0.6782089471817017,close eye
1,0.6400300860404968,close eye
4,0.5777082443237305,nose
4,0.30800753831863403,nose
0,0.8847036957740784,baby
1,0.5270891785621643,close eye
1,0.3527759313583374,close eye
0,0.9006218314170837,baby
3,0.7491488456726074,mouth
4,0.6886473894119263,nose
5,0.6278537511825562,opened eyes
5,0.5975795388221741,opened eyes
0,0.9001122713088989,baby
3,0.7461497783660889,mouth
4,0.6900110244750977,nose
5,0.6290153861045837,opened eyes
5,0.6120315790176392,opened eyes
0,0.7522144317626953,baby
0,0.9300274848937988,baby
3,0.7865721583366394,mouth
5,0.6949598789215088,opened eyes
4,0.6675800681114197,nose
5,0.6654754281044006,opened eyes
0,0.9295977354049683,baby
3,0.7808431386947632,mouth
5,0.6992846131324768,opened eyes
4,0.6669832468032837,nose
5,0.6652552485466003,opened eyes
0,0.8868245482444763,baby
4,0.7440220713615417,nose
3,0.7323833703994751,mouth
5,0.7072482705116272,opened eyes
5,0.6620481610298157,opened eyes
0,0.8877346515655518,baby
4,0.7285574674606323,nose
3,0.718962550163269,mouth
5,0.7183496356010437,opened eyes
5,0.657477080821991,opened eyes
0,0.6861929893493652,baby
5,0.614246129989624,opened eyes
4,0.5478901267051697,nose
5,0.3793335556983948,opened eyes
0,0.8984811305999756,baby
2,0.8169239163398743,crib
1,0.644289493560791,close eye
5,0.3100578486919403,opened eyes
1,0.2781117260456085,close eye
4,0.2664431929588318,nose
0,0.8963763117790222,baby
2,0.7880038022994995,crib
1,0.649929404258728,close eye
0,0.32588663697242737,baby
5,0.3096620738506317,opened eyes
1,0.27641624212265015,close eye
0,0.9407037496566772,baby
5,0.5433633327484131,opened eyes
1,0.48897895216941833,close eye
2,0.38455620408058167,crib
3,0.3473149538040161,mouth
0,0.25091487169265747,baby
0,0.8859937191009521,baby
1,0.5189321041107178,close eye
2,0.3800324499607086,crib
1,0.33927449584007263,close eye
0,0.8752009868621826,baby
2,0.4077472984790802,crib
1,0.40389007329940796,close eye
2,0.9417604804039001,crib
