epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,695.156,1.57133,2.53583,1.44522,0.67443,0.6137,0.67122,0.35602,1.5033,1.91523,1.34201,0.000331096,0.000331096,0.000331096
2,1423.48,1.43347,1.45166,1.32214,0.77981,0.70526,0.76482,0.41418,1.44573,1.35142,1.33072,0.000598651,0.000598651,0.000598651
3,2105.87,1.40036,1.21817,1.2991,0.82209,0.77113,0.84263,0.48919,1.3784,1.24,1.2738,0.000800206,0.000800206,0.000800206
4,2751.19,1.35153,1.0364,1.26391,0.81574,0.83388,0.88804,0.51691,1.32939,1.04717,1.23944,0.000703,0.000703,0.000703
5,3433.44,1.28787,0.90743,1.22512,0.8371,0.86227,0.91529,0.56267,1.24827,0.89426,1.18837,0.000604,0.000604,0.000604
6,4193.26,1.25238,0.82966,1.18929,0.93897,0.87826,0.935,0.60113,1.17929,0.77206,1.14668,0.000505,0.000505,0.000505
7,4859.29,1.20174,0.76377,1.15783,0.91811,0.90613,0.94693,0.62841,1.1458,0.70709,1.12402,0.000406,0.000406,0.000406
8,5524.16,1.16191,0.70896,1.14467,0.95559,0.927,0.96101,0.66245,1.0975,0.66352,1.0939,0.000307,0.000307,0.000307
9,6296.82,1.12005,0.6633,1.11802,0.94949,0.94237,0.97176,0.68281,1.04395,0.61609,1.0627,0.000208,0.000208,0.000208
10,6996.91,1.08212,0.62528,1.09264,0.96397,0.9569,0.97783,0.69508,1.01475,0.59074,1.04651,0.000109,0.000109,0.000109
